High_Quality,Low_Quality,Type
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_121.jpg,processed_images\overexposed\woman_1_121.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_121.jpg,processed_images\compressed\woman_1_121.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_122.jpg,processed_images\low_resolution\woman_1_122.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_122.jpg,processed_images\noisy\woman_1_122.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_122.jpg,processed_images\underexposed\woman_1_122.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_122.jpg,processed_images\overexposed\woman_1_122.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_122.jpg,processed_images\compressed\woman_1_122.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_123.jpg,processed_images\low_resolution\woman_1_123.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_123.jpg,processed_images\noisy\woman_1_123.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_123.jpg,processed_images\underexposed\woman_1_123.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_123.jpg,processed_images\overexposed\woman_1_123.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_123.jpg,processed_images\compressed\woman_1_123.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_124.jpg,processed_images\low_resolution\woman_1_124.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_124.jpg,processed_images\noisy\woman_1_124.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_124.jpg,processed_images\underexposed\woman_1_124.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_124.jpg,processed_images\overexposed\woman_1_124.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_124.jpg,processed_images\compressed\woman_1_124.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_125.jpg,processed_images\low_resolution\woman_1_125.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_125.jpg,processed_images\noisy\woman_1_125.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_125.jpg,processed_images\underexposed\woman_1_125.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_125.jpg,processed_images\overexposed\woman_1_125.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_125.jpg,processed_images\compressed\woman_1_125.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_126.jpg,processed_images\low_resolution\woman_1_126.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_126.jpg,processed_images\noisy\woman_1_126.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_126.jpg,processed_images\underexposed\woman_1_126.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_126.jpg,processed_images\overexposed\woman_1_126.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_126.jpg,processed_images\compressed\woman_1_126.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_127.jpg,processed_images\low_resolution\woman_1_127.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_127.jpg,processed_images\noisy\woman_1_127.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_127.jpg,processed_images\underexposed\woman_1_127.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_127.jpg,processed_images\overexposed\woman_1_127.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_127.jpg,processed_images\compressed\woman_1_127.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_128.jpg,processed_images\low_resolution\woman_1_128.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_128.jpg,processed_images\noisy\woman_1_128.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_128.jpg,processed_images\underexposed\woman_1_128.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_128.jpg,processed_images\overexposed\woman_1_128.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_128.jpg,processed_images\compressed\woman_1_128.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_129.jpg,processed_images\low_resolution\woman_1_129.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_129.jpg,processed_images\noisy\woman_1_129.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_129.jpg,processed_images\underexposed\woman_1_129.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_129.jpg,processed_images\overexposed\woman_1_129.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_129.jpg,processed_images\compressed\woman_1_129.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_13.jpg,processed_images\low_resolution\woman_1_13.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_13.jpg,processed_images\noisy\woman_1_13.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_13.jpg,processed_images\underexposed\woman_1_13.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_13.jpg,processed_images\overexposed\woman_1_13.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_13.jpg,processed_images\compressed\woman_1_13.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_130.jpg,processed_images\low_resolution\woman_1_130.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_130.jpg,processed_images\noisy\woman_1_130.jpg,noisy
